CATEGORIA,CIDADE_ESTABELECIMENTO,COD_CATEGORIA,COD_ESTABELECIMENTO,COD_MCC,FREQ_TRANSACAO,MCC_CODE,MCC_DESCRIPTION,NOME_ESTABELECIMENTO,NOME_MCC,PREDICT,TRANSACAO_COM_CHIP,Unnamed: 0
LocaÃ§Ã£o de Carro,MIAMI BEACH,1,"8,25E+11",7394.0,1.0,7394.0,ALUGUEL DE EQUIPAMENTOS,BEACH SCOOTER RENTALS,BEACH SCOOTER RENTALS ALUGUEL DE EQUIPAMENTOS,,S,
,FEIRA DE SANT,,1006339083,5533.0,1.0,5533.0,LOJA DE ACESSORIOS PARA VEICULOS AUTOMOTIVOS,EKIP CAR SOM,EKIP CAR SOM LOJA DE ACESSORIOS PARA VEICULOS AUTOMOTIVOS,,S,
,RIO DE JANEIR,,8678759119,5533.0,1.0,5533.0,LOJA DE ACESSORIOS PARA VEICULOS AUTOMOTIVOS,W I STOP CAR PCA AC SERV,W I STOP CAR PCA AC SERV LOJA DE ACESSORIOS PARA VEICULOS AUTOMOTIVOS,,S,
LocaÃ§Ã£o de Carro,BENITO JUAREZ,1,111-7003512923,3351.0,10.0,3351.0,AFFILIATED AUTO RENTAL,AMERICA CAR R DLLS 3,AMERICA CAR R DLLS 3 AFFILIATED AUTO RENTAL,,S,
LocaÃ§Ã£o de Carro,LONDON,1,9450508916,4722.0,5.0,4722.0,OPERADORES / AGENCIAS DE VIAGEM,TRIP ADVISOR TA RENTAL TR,TRIP ADVISOR TA RENTAL TR OPERADORES / AGENCIAS DE VIAGEM,,N,
Passagens Aereas,SAO JOAO DE M,2,1568385,7538.0,2.0,7538.0,OFICINAS,TS CAR CLINICA AUTOMOT,TS CAR CLINICA AUTOMOT OFICINAS,,N,
LocaÃ§Ã£o de Carro,SAO PAULO,1,39327167,7512.0,1.0,7512.0,LOCADORAS DE VEICULOS,FISA RENTE A CAR,FISA RENTE A CAR LOCADORAS DE VEICULOS,,S,
LocaÃ§Ã£o de Carro,FLORIANOPOLIS,1,8623957990,7512.0,1.0,7512.0,LOCADORAS DE VEICULOS,ARGON RENTA CAR,ARGON RENTA CAR LOCADORAS DE VEICULOS,,S,
Materiais de Construção,PETROPOLIS,6,56820429,5211.0,5.0,5211.0,LOJAS DE MATERIAL DE CONSTRUCAO,VENCAR MATERIAIS,VENCAR MATERIAIS LOJAS DE MATERIAL DE CONSTRUCAO,,S,
LocaÃ§Ã£o de Carro,MANAUS,1,8720572577,7512.0,3.0,7512.0,LOCADORAS DE VEICULOS,LOCALIZA AGENCIA ACM,LOCALIZA AGENCIA ACM LOCADORAS DE VEICULOS,,S,
LocaÃ§Ã£o de Carro,TEL AVIV,1,9723903639,7512.0,19.0,7512.0,LOCADORAS DE VEICULOS,ELDAN CAR RENT LTD,ELDAN CAR RENT LTD LOCADORAS DE VEICULOS,,N,
LocaÃ§Ã£o de Carro,HONG KONG,1,1070039895,7512.0,2.0,7512.0,LOCADORAS DE VEICULOS,EASYRENTCARS COM,EASYRENTCARS COM LOCADORAS DE VEICULOS,,N,
LocaÃ§Ã£o de Carro,PORTO,1,123657,7512.0,1.0,7512.0,LOCADORAS DE VEICULOS,FIRST RENT,FIRST RENT LOCADORAS DE VEICULOS,,S,
LocaÃ§Ã£o de Carro,ALAJUELA,1,23341565,7512.0,4.0,7512.0,LOCADORAS DE VEICULOS,ALAMO RENT A CAR RIO SEGU,ALAMO RENT A CAR RIO SEGU LOCADORAS DE VEICULOS,,S,
LocaÃ§Ã£o de Carro,DUBAI,1,9763953296,7512.0,1.0,7512.0,LOCADORAS DE VEICULOS,"AVIS RENT A CAR,DUBAI AIR","AVIS RENT A CAR,DUBAI AIR LOCADORAS DE VEICULOS",,N,
LocaÃ§Ã£o de Carro,SANTOS,1,9917435448,7512.0,5.0,7512.0,LOCADORAS DE VEICULOS,LOCALIZA R A CAR ACSTS,LOCALIZA R A CAR ACSTS LOCADORAS DE VEICULOS,,S,
,BETIM,,1059804651,7538.0,1.0,7538.0,OFICINAS,ARICA CAR ALINHANTO,ARICA CAR ALINHANTO OFICINAS,,S,
LocaÃ§Ã£o de Carro,SANTIAGO,1,9993600485,7512.0,9.0,7512.0,LOCADORAS DE VEICULOS,ALAMO RENT A CAR PUDAHUEL,ALAMO RENT A CAR PUDAHUEL LOCADORAS DE VEICULOS,,S,
,GOIANIA,,26601740,7538.0,3.0,7538.0,OFICINAS,FAST CAR FUNILARIA E P,FAST CAR FUNILARIA E P OFICINAS,,S,
LocaÃ§Ã£o de Carro,FLORIANOPOLIS,1,8716148606,7512.0,1.0,7512.0,LOCADORAS DE VEICULOS,JM CAR AUTO LOCAD,JM CAR AUTO LOCAD LOCADORAS DE VEICULOS,,S,
,SAO PAULO,,3315045,5533.0,1.0,5533.0,LOJA DE ACESSORIOS PARA VEICULOS AUTOMOTIVOS,COM DE PNEUS PAL CAR L,COM DE PNEUS PAL CAR L LOJA DE ACESSORIOS PARA VEICULOS AUTOMOTIVOS,,S,
LocaÃ§Ã£o de Carro,SANTIAGO,1,31079977,7512.0,7.0,7512.0,LOCADORAS DE VEICULOS,RENT A CAR IN CHILE,RENT A CAR IN CHILE LOCADORAS DE VEICULOS,,N,
LocaÃ§Ã£o de Carro,VILLAHERMOSA,1,12205500275,7512.0,1.0,7512.0,LOCADORAS DE VEICULOS,ALAMO VILLAHERMOSA AER,ALAMO VILLAHERMOSA AER LOCADORAS DE VEICULOS,,N,
,SAO LOURENCO,,42416760,5200.0,6.0,5200.0,SUPRIMENTOS PARA CASA,MARIA DE L CAR DA SILV,MARIA DE L CAR DA SILV SUPRIMENTOS PARA CASA,,S,
LocaÃ§Ã£o de Carro,LAS ROZAS MAD,1,6228312,3357.0,8.0,3357.0,HERTZ RENT A CAR,"HERTZ DE ESPANA, SA -","HERTZ DE ESPANA, SA - HERTZ RENT A CAR",,N,
LocaÃ§Ã£o de Carro,FORTALEZA,1,29091292,7512.0,2.0,7512.0,LOCADORAS DE VEICULOS,LOC ALL RENTA CAR,LOC ALL RENTA CAR LOCADORAS DE VEICULOS,,S,
LocaÃ§Ã£o de Carro,SAO PAULO,1,70987866,5511.0,12.0,5511.0,CARROS E CAMINHOES (NOVOS / USADOS),RENAULT NACOES UNIDAS,RENAULT NACOES UNIDAS CARROS E CAMINHOES (NOVOS / USADOS),,S,
LocaÃ§Ã£o de Carro,ATLANTA,1,4105322812,7512.0,1.0,7512.0,LOCADORAS DE VEICULOS,ENTERPRISE RENTACAR ATLAN,ENTERPRISE RENTACAR ATLAN LOCADORAS DE VEICULOS,,N,
LocaÃ§Ã£o de Carro,BOA VISTA,1,67068197,7512.0,1.0,7512.0,LOCADORAS DE VEICULOS,MAC ALUGUEL DE VEICULOS,MAC ALUGUEL DE VEICULOS LOCADORAS DE VEICULOS,,S,
LocaÃ§Ã£o de Carro,RICHMOND,1,9323913419,7512.0,1.0,7512.0,LOCADORAS DE VEICULOS,BUDGET RENT-A-CAR HEAD,BUDGET RENT-A-CAR HEAD LOCADORAS DE VEICULOS,,S,
LocaÃ§Ã£o de Carro,BLUMENAU,1,19364105,5511.0,1.0,5511.0,CARROS E CAMINHOES (NOVOS / USADOS),RAMOS CAR SERVIC,RAMOS CAR SERVIC CARROS E CAMINHOES (NOVOS / USADOS),,N,
LocaÃ§Ã£o de Carro,RIO LARGO,1,9913904876,7512.0,28.0,7512.0,LOCADORAS DE VEICULOS,LOCALIZA R A CAR AAMCZ,LOCALIZA R A CAR AAMCZ LOCADORAS DE VEICULOS,,S,
LocaÃ§Ã£o de Carro,VACAVILLE,1,5043949544,7512.0,2.0,7512.0,LOCADORAS DE VEICULOS,ENTERPRISE RENTACAR VACAV,ENTERPRISE RENTACAR VACAV LOCADORAS DE VEICULOS,,N,
,SAO VICENTE,,8674528468,5533.0,1.0,5533.0,LOJA DE ACESSORIOS PARA VEICULOS AUTOMOTIVOS,MONUMENTO SHOPPING CAR CO,MONUMENTO SHOPPING CAR CO LOJA DE ACESSORIOS PARA VEICULOS AUTOMOTIVOS,,S,
LocaÃ§Ã£o de Carro,ATLANTA,1,"5,98E+14",7394.0,7.0,7394.0,ALUGUEL DE EQUIPAMENTOS,ATLANTA AP CART RENTAL,ATLANTA AP CART RENTAL ALUGUEL DE EQUIPAMENTOS,,N,
LocaÃ§Ã£o de Carro,8774114300,1,"2,27E+11",4789.0,2182.0,4789.0,COOPERATIVAS DE TAXI,ADVANT RENTACAR TOLLS,ADVANT RENTACAR TOLLS COOPERATIVAS DE TAXI,,N,
LocaÃ§Ã£o de Carro,NARBONNE,1,"3,50E+13",7512.0,1.0,7512.0,LOCADORAS DE VEICULOS,SAS BPA - HERTZ 2442433,SAS BPA - HERTZ 2442433 LOCADORAS DE VEICULOS,,N,
LocaÃ§Ã£o de Carro,RIO DE JANEIR,1,8670030501,5812.0,81.0,5812.0,RESTAURANTES,MEDITERRANEO CAR REST LTD,MEDITERRANEO CAR REST LTD RESTAURANTES,,S,
LocaÃ§Ã£o de Carro,SALVADOR,1,24983454,7512.0,1.0,7512.0,LOCADORAS DE VEICULOS,LOCADORA MILA RENTACAR,LOCADORA MILA RENTACAR LOCADORAS DE VEICULOS,,N,
LocaÃ§Ã£o de Carro,786-233-6181,1,"6,01E+14",7512.0,1.0,7512.0,LOCADORAS DE VEICULOS,WWW TUFLORIDARENTALCAR,WWW TUFLORIDARENTALCAR LOCADORAS DE VEICULOS,,N,
,BRASILIA,,55694349,7296.0,3.0,7296.0,ALUGUEL DE ROUPAS,STILO LOCACAO,STILO LOCACAO ALUGUEL DE ROUPAS,,S,
,TAQUARITINGA,,1031642401,5533.0,1.0,5533.0,LOJA DE ACESSORIOS PARA VEICULOS AUTOMOTIVOS,SPORT CAR SOM E RODAS,SPORT CAR SOM E RODAS LOJA DE ACESSORIOS PARA VEICULOS AUTOMOTIVOS,,S,
LocaÃ§Ã£o de Carro,ORANJESTAD,1,"3,73E+14",7512.0,1.0,7512.0,LOCADORAS DE VEICULOS,RUBA RENTAL N V,RUBA RENTAL N V LOCADORAS DE VEICULOS,,N,
LocaÃ§Ã£o de Carro,SAO PAULO,1,31670660,5511.0,1.0,5511.0,CARROS E CAMINHOES (NOVOS / USADOS),WR CAR SERVICE,WR CAR SERVICE CARROS E CAMINHOES (NOVOS / USADOS),,N,
,CAMPO GRANDE,,68519842,7538.0,1.0,7538.0,OFICINAS,MIT CAR PECAS E SERVIC,MIT CAR PECAS E SERVIC OFICINAS,,S,
LocaÃ§Ã£o de Carro,LISBOA,1,9553000332,7512.0,26.0,7512.0,LOCADORAS DE VEICULOS,INTERRENT PORTUGAL 000000,INTERRENT PORTUGAL 000000 LOCADORAS DE VEICULOS,,N,
LocaÃ§Ã£o de Carro,SEOUL,1,924439458,7512.0,2.0,7512.0,LOCADORAS DE VEICULOS,HI RENTER CAR 443,HI RENTER CAR 443 LOCADORAS DE VEICULOS,,N,
LocaÃ§Ã£o de Carro,CAMPO MOURAO,1,1422776,7512.0,1.0,7512.0,LOCADORAS DE VEICULOS,AGILIZA LOCACAO DE VEI,AGILIZA LOCACAO DE VEI LOCADORAS DE VEICULOS,,S,
LocaÃ§Ã£o de Carro,SAO GONCALO,1,48628735,5511.0,1.0,5511.0,CARROS E CAMINHOES (NOVOS / USADOS),LEOS CAR AUTO CENTER,LEOS CAR AUTO CENTER CARROS E CAMINHOES (NOVOS / USADOS),,N,
LocaÃ§Ã£o de Carro,RIO DE JANEIR,1,830861,5511.0,31.0,5511.0,CARROS E CAMINHOES (NOVOS / USADOS),VOGAS HELP CAR SERVICO,VOGAS HELP CAR SERVICO CARROS E CAMINHOES (NOVOS / USADOS),,S,
Supermercados,SAO LEOPOLDO,5,1014137540,5300.0,19.0,5300.0,ATACADISTA,UNIDASUL FL 02,UNIDASUL FL 02 ATACADISTA,,S,
LocaÃ§Ã£o de Carro,ALMERIA,1,148030869,7512.0,2.0,7512.0,LOCADORAS DE VEICULOS,ALVA RENT A CAR,ALVA RENT A CAR LOCADORAS DE VEICULOS,,N,
LocaÃ§Ã£o de Carro,BLEHEN,1,201026294,4121.0,1.0,4121.0,TAXI / LIMOUSINES,LAURENT LUYCKX,LAURENT LUYCKX TAXI / LIMOUSINES,,S,
LocaÃ§Ã£o de Carro,ES CANA SANTA,1,202507513,7512.0,2.0,7512.0,LOCADORAS DE VEICULOS,CLASS RENT A CAR S L,CLASS RENT A CAR S L LOCADORAS DE VEICULOS,,N,
LocaÃ§Ã£o de Carro,CIUDAD HABANA,1,201010394,7512.0,2.0,7512.0,LOCADORAS DE VEICULOS,R CAR H LIBRE LOBBY TRNGV,R CAR H LIBRE LOBBY TRNGV LOCADORAS DE VEICULOS,,N,
LocaÃ§Ã£o de Carro,CAP FEDERAL,1,40846198,7512.0,1.0,7512.0,LOCADORAS DE VEICULOS,ALQUILAR CAR 6198,ALQUILAR CAR 6198 LOCADORAS DE VEICULOS,,N,
LocaÃ§Ã£o de Carro,RAANANA,1,9728428327,7512.0,1.0,7512.0,LOCADORAS DE VEICULOS,AVANTI - CAR TRADING LTD,AVANTI - CAR TRADING LTD LOCADORAS DE VEICULOS,,N,
,SAO GONCALO,,"1,12E+14",7549.0,1.0,7549.0,REBOQUE,COELHO CAR (LEO),COELHO CAR (LEO) REBOQUE,,S,
LocaÃ§Ã£o de Carro,ARMACAO DOS B,1,72367610,7512.0,2.0,7512.0,LOCADORAS DE VEICULOS,STAR CAR ALUGUEL,STAR CAR ALUGUEL LOCADORAS DE VEICULOS,,S,
LocaÃ§Ã£o de Carro,RIO DE JANEIR,1,7787758,7512.0,5.0,7512.0,LOCADORAS DE VEICULOS,LOCABARRA RENT A CAR,LOCABARRA RENT A CAR LOCADORAS DE VEICULOS,,S,
Supermercados,TAUBATE,5,9061131900,5499.0,1.0,5499.0,ACOUGUE MERC FRUTOS DO MAR ALIM VA,CASA DE CAR LOSANGELES,CASA DE CAR LOSANGELES ACOUGUE MERC FRUTOS DO MAR ALIM VA,,S,
LocaÃ§Ã£o de Carro,THIRA,1,20653440,7512.0,1.0,7512.0,LOCADORAS DE VEICULOS,SANTO SUN OVERALL CAR REN,SANTO SUN OVERALL CAR REN LOCADORAS DE VEICULOS,,N,
Farmacia,BARUERI,3,9919916189,5912.0,1.0,5912.0,DROGARIAS E FARMACIAS,DERMOVIDA,DERMOVIDA DROGARIAS E FARMACIAS,,S,
Supermercados,XANGRI-LA,5,1056595636,5411.0,72.0,5411.0,SUPERMERCADOS,UNIDASUL,UNIDASUL SUPERMERCADOS,,S,
LocaÃ§Ã£o de Carro,SAO PAULO,1,9910834712,5511.0,3.0,5511.0,CARROS E CAMINHOES (NOVOS / USADOS),LOCALIZA R A CAR ACJKK,LOCALIZA R A CAR ACJKK CARROS E CAMINHOES (NOVOS / USADOS),,S,
LocaÃ§Ã£o de Carro,CAMPO BOM,1,1014141211,5300.0,1.0,5300.0,ATACADISTA,UNIDASUL FL22,UNIDASUL FL22 ATACADISTA,,S,
LocaÃ§Ã£o de Carro,VILLA BALLEST,1,13601107,7512.0,2.0,7512.0,LOCADORAS DE VEICULOS,ONE RENTA CAR,ONE RENTA CAR LOCADORAS DE VEICULOS,,N,
LocaÃ§Ã£o de Carro,CAMPO RASO,1,1634955,7512.0,1.0,7512.0,LOCADORAS DE VEICULOS,PARRACHO RENT-A-CAR,PARRACHO RENT-A-CAR LOCADORAS DE VEICULOS,,S,
LocaÃ§Ã£o de Carro,WOODSIDE,1,1315892265,7399.0,1.0,7399.0,ASSISTENCIA TECNICA - OUTROS,UHAUL RENTAL/PURCHASE 802,UHAUL RENTAL/PURCHASE 802 ASSISTENCIA TECNICA - OUTROS,,N,
,YORK,,"1,03E+14",7542.0,1.0,7542.0,LAVA RAPIDO,APPLE CAR WASH EXPRESS,APPLE CAR WASH EXPRESS LAVA RAPIDO,,N,
LocaÃ§Ã£o de Carro,NORTH YORK,1,9302336541,7512.0,1.0,7512.0,LOCADORAS DE VEICULOS,ENTERPRISE RENTACAR NORTH,ENTERPRISE RENTACAR NORTH LOCADORAS DE VEICULOS,,N,
LocaÃ§Ã£o de Carro,203-299-2595,1,"4,45E+11",4722.0,17.0,4722.0,OPERADORES / AGENCIAS DE VIAGEM,PLN RENTAL INSURANC,PLN RENTAL INSURANC OPERADORES / AGENCIAS DE VIAGEM,,N,
,SANTIAGO,,9921804761,5651.0,1.0,5651.0,VENDAS DE ROUPAS PARA FAMILIA,SKI RENTAL NI7,SKI RENTAL NI7 VENDAS DE ROUPAS PARA FAMILIA,,S,
LocaÃ§Ã£o de Carro,SANTA EULARIA,1,203501598,7512.0,1.0,7512.0,LOCADORAS DE VEICULOS,CLASS REN A CAR SL,CLASS REN A CAR SL LOCADORAS DE VEICULOS,,S,
,RIODEJANEIRO,,105529940,4722.0,1.0,4722.0,OPERADORES / AGENCIAS DE VIAGEM,PAG RENTALDRIVER,PAG RENTALDRIVER OPERADORES / AGENCIAS DE VIAGEM,,S,
LocaÃ§Ã£o de Carro,BOLZANO,1,101273347,3381.0,1.0,3381.0,EUROP CAR,EUROPCAR BZOT03 BOLZAN,EUROPCAR BZOT03 BOLZAN EUROP CAR,,N,
,TORONTO,,30209893157,7531.0,1.0,7531.0,RESTAURACAO AUTOMOVEIS,CROSSTOWN CAR WASH,CROSSTOWN CAR WASH RESTAURACAO AUTOMOVEIS,,S,
LocaÃ§Ã£o de Carro,CAXIAS DO SUL,1,73890804,7512.0,1.0,7512.0,LOCADORAS DE VEICULOS,UNIDAS BENTO GONCALVES,UNIDAS BENTO GONCALVES LOCADORAS DE VEICULOS,,N,
,SAO PAULO,,1004862765,7538.0,1.0,7538.0,OFICINAS,JOB CAR AUTO MECANICA,JOB CAR AUTO MECANICA OFICINAS,,S,
,NITEROI,,1027009570,5013.0,3.0,5013.0,PECAS E SERVICOS PARA VEICULOS,STOP CAR AUTO CENTER,STOP CAR AUTO CENTER PECAS E SERVICOS PARA VEICULOS,,S,
LocaÃ§Ã£o de Carro,LA LIBERTAD,1,477298801,7512.0,1.0,7512.0,LOCADORAS DE VEICULOS,CAMINO PERU RENTA CAR,CAMINO PERU RENTA CAR LOCADORAS DE VEICULOS,,N,
LocaÃ§Ã£o de Carro,PANAMA,1,94162025,7512.0,1.0,7512.0,LOCADORAS DE VEICULOS,AUTOMOBILE CAR RENTAL AER,AUTOMOBILE CAR RENTAL AER LOCADORAS DE VEICULOS,,S,
LocaÃ§Ã£o de Carro,AIRPORT INDUS,1,963818,7512.0,1.0,7512.0,LOCADORAS DE VEICULOS,CABS CAR HIRE,CABS CAR HIRE LOCADORAS DE VEICULOS,,N,
LocaÃ§Ã£o de Carro,DUBAI,1,9763959608,7512.0,3.0,7512.0,LOCADORAS DE VEICULOS,"DOLLAR RENT A CAR,RAMADA","DOLLAR RENT A CAR,RAMADA LOCADORAS DE VEICULOS",,N,
LocaÃ§Ã£o de Carro,RIO DE JANEIR,1,8675425151,7512.0,52.0,7512.0,LOCADORAS DE VEICULOS,FOCO ALUGUEL DE CARROS S/,FOCO ALUGUEL DE CARROS S/ LOCADORAS DE VEICULOS,,S,
LocaÃ§Ã£o de Carro,CAXIAS DO SUL,1,24344060,7512.0,3.0,7512.0,LOCADORAS DE VEICULOS,LOCALIZA ACCXJ,LOCALIZA ACCXJ LOCADORAS DE VEICULOS,,N,
LocaÃ§Ã£o de Carro,NITEROI,1,8720297837,7512.0,3.0,7512.0,LOCADORAS DE VEICULOS,SEMINOVOS LOCALIZA NIT,SEMINOVOS LOCALIZA NIT LOCADORAS DE VEICULOS,,S,
LocaÃ§Ã£o de Carro,LA PAZ,1,402283,7512.0,1.0,7512.0,LOCADORAS DE VEICULOS,IMBEX RENT A CAR MP,IMBEX RENT A CAR MP LOCADORAS DE VEICULOS,,S,
,RIO DE JANEIR,,1003858608,5533.0,55.0,5533.0,LOJA DE ACESSORIOS PARA VEICULOS AUTOMOTIVOS,GUSH CAR PECAS,GUSH CAR PECAS LOJA DE ACESSORIOS PARA VEICULOS AUTOMOTIVOS,,S,
,RIO DE JANEIR,,9084288042,5047.0,111.0,5047.0,"LABORATORIOS MEDICO, DENTAL, HOSPITAL",AGM COM E LOCACAO DE E,"AGM COM E LOCACAO DE E LABORATORIOS MEDICO, DENTAL, HOSPITAL",,S,
LocaÃ§Ã£o de Carro,FORTALEZA,1,1005333200,7512.0,3.0,7512.0,LOCADORAS DE VEICULOS,GO RENT A CAR,GO RENT A CAR LOCADORAS DE VEICULOS,,N,
LocaÃ§Ã£o de Carro,SANTIAGO,1,32161529,5651.0,8.0,5651.0,VENDAS DE ROUPAS PARA FAMILIA,SKI RENTAL,SKI RENTAL VENDAS DE ROUPAS PARA FAMILIA,,N,
,RIO DE JANEIR,,15386414,7531.0,25.0,7531.0,RESTAURACAO AUTOMOVEIS,E J E CAR OFICINA,E J E CAR OFICINA RESTAURACAO AUTOMOVEIS,,S,
LocaÃ§Ã£o de Carro,CAP FEDERAL,1,21823224,7512.0,4.0,7512.0,LOCADORAS DE VEICULOS,HERTZ MULTAS 3224,HERTZ MULTAS 3224 LOCADORAS DE VEICULOS,,N,
LocaÃ§Ã£o de Carro,PARK CITY,1,"6,74E+14",5999.0,3.0,5999.0,FOGOS DE ARTIFICIO / DISTRIBUIDOR,LEGACY SPORTS RENTAL,LEGACY SPORTS RENTAL FOGOS DE ARTIFICIO / DISTRIBUIDOR,,S,
,UNION GAP,,"8,79E+12",7542.0,1.0,7542.0,LAVA RAPIDO,SPLASH EXPRESS CAR WAS,SPLASH EXPRESS CAR WAS LAVA RAPIDO,,N,
LocaÃ§Ã£o de Carro,FREDERIKSTE,1,9383912699,7512.0,3.0,7512.0,LOCADORAS DE VEICULOS,CENTERLINE CAR RENTALS 08,CENTERLINE CAR RENTALS 08 LOCADORAS DE VEICULOS,,N,
Supermercados,PORTAO,5,1014141297,5300.0,2.0,5300.0,ATACADISTA,UNIDASUL FL 30,UNIDASUL FL 30 ATACADISTA,,S,
LocaÃ§Ã£o de Carro,BLIKAVOLLUM 3,1,9014135,7512.0,9.0,7512.0,LOCADORAS DE VEICULOS,BLUE CAR RENTAL,BLUE CAR RENTAL LOCADORAS DE VEICULOS,,N,
LocaÃ§Ã£o de Carro,PRAHA 6,1,9593999881,7512.0,2.0,7512.0,LOCADORAS DE VEICULOS,AT CAR S R O BUDGET,AT CAR S R O BUDGET LOCADORAS DE VEICULOS,,N,
LocaÃ§Ã£o de Carro,SAN ANDRES,1,15037542,3389.0,1.0,3389.0,AVIS RENT A CAR,AMERICAN RENTA CAR SAN,AMERICAN RENTA CAR SAN AVIS RENT A CAR,,N,
LocaÃ§Ã£o de Carro,FORTALEZA,1,1027168458,7512.0,4.0,7512.0,LOCADORAS DE VEICULOS,LEBLON RENT A CAR,LEBLON RENT A CAR LOCADORAS DE VEICULOS,,S,
,NATAL,,9681990,5533.0,1.0,5533.0,LOJA DE ACESSORIOS PARA VEICULOS AUTOMOTIVOS,SHOW CAR PECAS E SERVIC,SHOW CAR PECAS E SERVIC LOJA DE ACESSORIOS PARA VEICULOS AUTOMOTIVOS,,S,
,GUARUJA,,1255088,5533.0,2.0,5533.0,LOJA DE ACESSORIOS PARA VEICULOS AUTOMOTIVOS,TOP CAR CENTER COMERCI,TOP CAR CENTER COMERCI LOJA DE ACESSORIOS PARA VEICULOS AUTOMOTIVOS,,N,
LocaÃ§Ã£o de Carro,BRUXELLES,1,9413937970,7512.0,6.0,7512.0,LOCADORAS DE VEICULOS,SIXT BELGIUM BVBA,SIXT BELGIUM BVBA LOCADORAS DE VEICULOS,,N,
LocaÃ§Ã£o de Carro,NAMIBIA,1,850106,3366.0,1.0,3366.0,BUDGET RENT A CAR,BIDVEST CAR RENTAL NAM,BIDVEST CAR RENTAL NAM BUDGET RENT A CAR,,N,
LocaÃ§Ã£o de Carro,BENITO JUAREZ,1,7194178,3395.0,9.0,3395.0,KENYA AIRWAYS,DOLLAR RENT CAR,DOLLAR RENT CAR KENYA AIRWAYS,,N,
LocaÃ§Ã£o de Carro,CAPE TOWN,1,92824,3381.0,1.0,3381.0,EUROP CAR,EUROPCAR STH SUN WATER,EUROPCAR STH SUN WATER EUROP CAR,,N,
LocaÃ§Ã£o de Carro,CURITIBA,1,30068355,7512.0,1.0,7512.0,LOCADORAS DE VEICULOS,L C RENT A CAR,L C RENT A CAR LOCADORAS DE VEICULOS,,N,
LocaÃ§Ã£o de Carro,BURLINGAME,1,"4,45E+12",5812.0,1.0,5812.0,RESTAURANTES,SIXTOS CANTINA,SIXTOS CANTINA RESTAURANTES,,N,
,RIO DE JANEIR,,1005039191,5533.0,81.0,5533.0,LOJA DE ACESSORIOS PARA VEICULOS AUTOMOTIVOS,BOX MIL CAR AUDIO,BOX MIL CAR AUDIO LOJA DE ACESSORIOS PARA VEICULOS AUTOMOTIVOS,,S,
LocaÃ§Ã£o de Carro,HAMILTON,1,4006249957,7513.0,4.0,7513.0,LOCADORAS DE CAMINHOES,3 BUDGET CAR RENTL,3 BUDGET CAR RENTL LOCADORAS DE CAMINHOES,,N,
,CURITIBA,,296382,5533.0,1.0,5533.0,LOJA DE ACESSORIOS PARA VEICULOS AUTOMOTIVOS,PNEUPLUS CAR SERVICE,PNEUPLUS CAR SERVICE LOJA DE ACESSORIOS PARA VEICULOS AUTOMOTIVOS,,N,
,ITABORAI,,1586187,7538.0,1.0,7538.0,OFICINAS,STOP CAR PECAS E SERVI,STOP CAR PECAS E SERVI OFICINAS,,S,
LocaÃ§Ã£o de Carro,BAURU,1,9910855188,7512.0,4.0,7512.0,LOCADORAS DE VEICULOS,LOCALIZA R A CAR ACBAU,LOCALIZA R A CAR ACBAU LOCADORAS DE VEICULOS,,S,
Supermercados,SAO LEOPOLDO,5,1015874026,5300.0,4.0,5300.0,ATACADISTA,UNIDASUL ATACADO,UNIDASUL ATACADO ATACADISTA,,S,
,6464810046,,"4,45E+11",5734.0,1.0,5734.0,LOJAS DE INFORMATICA,GOOGLE APPS BY CAR BO,GOOGLE APPS BY CAR BO LOJAS DE INFORMATICA,,N,
,PHOENIX,,"6,50E+14",7394.0,1.0,7394.0,ALUGUEL DE EQUIPAMENTOS,PHX LUGGAGE CART RENTAL,PHX LUGGAGE CART RENTAL ALUGUEL DE EQUIPAMENTOS,,N,
,UBERLANDIA,,1049661432,7538.0,3.0,7538.0,OFICINAS,FIX CAR SERVICOS,FIX CAR SERVICOS OFICINAS,,N,
Restaurantes,NEW YORK,7,2314511528,5814.0,8.0,5814.0,FAST FOOD,FRESH CO - 1381 SIXTH AV,FRESH CO - 1381 SIXTH AV FAST FOOD,,S,
LocaÃ§Ã£o de Carro,MINNEAPOLIS,1,3222315640,5511.0,2.0,5511.0,CARROS E CAMINHOES (NOVOS / USADOS),SIXT RENT A CAR MSP 4053,SIXT RENT A CAR MSP 4053 CARROS E CAMINHOES (NOVOS / USADOS),,N,
,CHANTILLY,,"8,25E+11",7394.0,15.0,7394.0,ALUGUEL DE EQUIPAMENTOS,CORT FURNITURE RENTAL,CORT FURNITURE RENTAL ALUGUEL DE EQUIPAMENTOS,,N,
,SAO JOSE DOS,,1007116860,7372.0,2.0,7372.0,PROCESSAMENTO DE DADOS E SERVICOS,REBOUCAS SOUND CAR DES,REBOUCAS SOUND CAR DES PROCESSAMENTO DE DADOS E SERVICOS,,N,
LocaÃ§Ã£o de Carro,CALAMA,1,25141679,7512.0,1.0,7512.0,LOCADORAS DE VEICULOS,HERTZ RENT A CAR CALAMA,HERTZ RENT A CAR CALAMA LOCADORAS DE VEICULOS,,S,
,ITABORAI,,8670257005,7538.0,1.0,7538.0,OFICINAS,AGO CAR 1511 C SERV LT ME,AGO CAR 1511 C SERV LT ME OFICINAS,,S,
